iter	Passed	Remaining
477	878	959
478	879	957
479	880	954
480	881	951
481	882	948
482	883	946
483	885	943
484	886	941
485	887	939
486	890	937
487	891	935
488	893	933
489	895	932
490	896	929
491	898	927
492	900	925
493	901	923
494	902	920
495	903	917
496	904	915
497	906	913
498	907	911
499	908	908
500	909	905
501	910	902
502	911	900
503	912	897
504	912	894
505	914	892
506	915	889
507	916	887
508	918	885
509	919	883
510	920	880
511	921	878
512	922	876
513	924	873
514	925	871
515	926	868
516	928	867
517	929	864
518	931	862
519	932	860
520	933	858
521	934	856
522	935	853
523	937	851
524	938	849
525	939	846
526	940	844
527	941	841
528	942	839
529	943	836
530	944	834
531	945	831
532	946	829
533	948	827
534	949	825
535	950	823
536	951	820
537	952	818
538	953	815
539	954	813
540	955	810
541	956	808
542	957	805
543	958	803
544	959	800
545	960	798
546	961	795
547	962	793
548	963	791
549	964	788
550	965	786
551	966	784
552	966	781
553	967	779
554	968	776
555	969	774
556	970	771
557	971	769
558	972	767
559	973	764
560	974	762
561	975	759
562	976	757
563	977	755
564	978	753
565	979	751
566	980	748
567	981	746
568	982	744
569	983	741
570	984	739
571	985	737
572	986	735
573	987	732
574	988	730
575	989	728
576	990	725
577	991	723
578	992	721
579	993	719
580	995	717
581	996	715
582	997	713
583	998	711
584	999	708
585	1000	706
586	1001	704
587	1002	702
588	1003	699
589	1003	697
590	1004	695
591	1005	693
592	1007	691
593	1008	689
594	1009	687
595	1010	685
596	1011	682
597	1012	680
598	1013	678
599	1014	676
600	1015	674
601	1016	671
602	1017	669
603	1018	667
604	1019	665
605	1020	663
606	1022	661
607	1028	663
608	1030	661
609	1049	670
610	1052	670
611	1054	668
612	1056	666
613	1057	664
614	1059	663
615	1061	661
616	1063	659
617	1064	658
618	1068	657
619	1074	658
620	1076	656
621	1077	654
622	1078	652
623	1079	650
624	1086	652
625	1089	651
626	1091	649
627	1092	647
628	1093	645
629	1095	643
630	1097	641
631	1102	641
632	1106	641
633	1107	639
634	1108	637
635	1109	635
636	1111	633
637	1113	631
638	1114	629
639	1118	628
640	1119	627
641	1121	625
642	1123	623
643	1124	621
644	1125	619
645	1127	618
646	1129	616
647	1132	615
648	1134	613
649	1137	612
650	1139	610
651	1140	608
652	1141	606
653	1142	604
654	1143	602
655	1144	600
656	1145	598
657	1146	595
658	1147	593
659	1148	591
660	1150	590
661	1152	588
662	1154	586
663	1157	585
664	1159	584
665	1161	582
666	1165	581
667	1168	580
668	1169	578
669	1171	577
670	1173	575
671	1174	573
672	1176	571
673	1177	569
674	1178	567
675	1179	565
676	1180	563
677	1181	560
678	1182	559
679	1183	557
680	1184	555
681	1186	553
682	1188	551
683	1189	549
684	1190	547
685	1192	545
686	1193	543
687	1195	542
688	1196	540
689	1197	538
690	1198	536
691	1200	534
692	1202	532
693	1203	530
694	1204	528
695	1205	526
696	1207	524
697	1208	522
698	1208	520
699	1209	518
700	1210	516
701	1211	514
702	1212	512
703	1213	510
704	1216	509
705	1217	507
706	1218	505
707	1220	503
708	1221	501
709	1222	499
710	1223	497
711	1225	495
712	1226	493
713	1227	491
714	1229	489
715	1231	488
716	1232	486
717	1233	484
718	1235	482
719	1239	482
720	1240	480
721	1243	478
722	1245	477
723	1247	475
724	1248	473
725	1252	472
726	1253	470
727	1254	468
728	1255	466
729	1257	464
730	1258	463
731	1261	462
732	1263	460
733	1264	458
734	1266	456
735	1267	454
736	1268	452
737	1269	450
738	1270	448
739	1271	446
740	1272	444
741	1273	442
742	1276	441
743	1283	441
744	1289	441
745	1290	439
746	1294	438
747	1296	436
748	1298	434
749	1298	432
750	1299	430
751	1300	428
752	1301	426
753	1302	424
754	1303	422
755	1304	421
756	1305	419
757	1307	417
758	1308	415
759	1309	413
760	1310	411
761	1311	409
762	1312	407
763	1313	405
764	1314	403
765	1315	401
766	1316	399
767	1318	398
768	1321	396
769	1323	395
770	1324	393
771	1326	391
772	1328	390
773	1329	388
774	1330	386
775	1331	384
776	1332	382
777	1333	380
778	1335	378
779	1336	377
780	1337	375
781	1339	373
782	1340	371
783	1340	369
784	1342	367
785	1343	365
786	1344	363
787	1345	361
788	1346	360
789	1347	358
790	1347	356
791	1349	354
792	1350	352
793	1351	350
794	1352	348
795	1353	346
796	1355	345
797	1355	343
798	1356	341
799	1357	339
800	1358	337
801	1359	335
802	1359	333
803	1360	331
804	1361	329
805	1363	328
806	1364	326
807	1365	324
808	1366	322
809	1367	320
810	1367	318
811	1368	316
812	1369	315
813	1370	313
814	1371	311
815	1372	309
816	1373	307
817	1373	305
818	1374	303
819	1375	301
820	1376	300
821	1377	298
822	1378	296
823	1379	294
824	1380	292
825	1381	290
826	1381	289
827	1382	287
828	1383	285
829	1384	283
830	1385	281
831	1386	279
832	1387	278
833	1387	276
834	1388	274
835	1389	272
836	1390	270
837	1390	268
838	1391	267
839	1393	265
840	1394	263
841	1394	261
842	1395	259
843	1396	258
844	1397	256
845	1398	254
846	1399	252
847	1400	250
848	1400	249
849	1401	247
850	1402	245
851	1403	243
852	1404	242
853	1405	240
854	1407	238
855	1408	236
856	1409	235
857	1410	233
858	1411	231
859	1412	229
860	1412	228
861	1413	226
862	1414	224
863	1415	222
864	1416	221
865	1417	219
866	1417	217
867	1418	215
868	1419	214
869	1423	212
870	1424	210
871	1425	209
872	1426	207
873	1427	205
874	1427	203
875	1428	202
876	1429	200
877	1430	198
878	1431	197
879	1432	195
880	1433	193
881	1433	191
882	1434	190
883	1436	188
884	1437	186
885	1438	185
886	1439	183
887	1440	181
888	1440	179
889	1441	178
890	1442	176
891	1443	174
892	1444	173
893	1445	171
894	1445	169
895	1446	167
896	1447	166
897	1448	164
898	1449	162
899	1451	161
900	1452	159
901	1453	157
902	1453	156
903	1454	154
904	1455	152
905	1456	151
906	1457	149
907	1458	147
908	1458	146
909	1459	144
910	1460	142
911	1461	141
912	1462	139
913	1463	137
914	1463	135
915	1465	134
916	1466	132
917	1467	131
918	1468	129
919	1469	127
920	1470	126
921	1471	124
922	1472	122
923	1473	121
924	1474	119
925	1475	117
926	1476	116
927	1477	114
928	1478	112
929	1478	111
930	1479	109
931	1480	108
932	1481	106
933	1482	104
934	1483	103
935	1484	101
936	1485	99
937	1485	98
938	1486	96
939	1487	94
940	1488	93
941	1489	91
942	1490	90
943	1491	88
944	1492	86
945	1492	85
946	1493	83
947	1494	81
948	1495	80
949	1496	78
950	1497	77
951	1498	75
952	1499	73
953	1500	72
954	1501	70
955	1502	69
956	1502	67
957	1503	65
958	1504	64
959	1505	62
960	1506	61
961	1507	59
962	1507	57
963	1508	56
964	1509	54
965	1510	53
966	1511	51
967	1512	50
968	1514	48
969	1515	46
970	1515	45
971	1517	43
972	1517	42
973	1518	40
974	1519	38
975	1520	37
976	1521	35
977	1522	34
978	1523	32
979	1524	31
980	1525	29
981	1526	27
982	1527	26
983	1528	24
984	1529	23
985	1530	21
986	1531	20
987	1532	18
988	1532	17
989	1533	15
990	1534	13
991	1535	12
992	1536	10
993	1537	9
994	1537	7
995	1539	6
996	1539	4
997	1540	3
998	1541	1
999	1542	0
